,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT1G19350,BES1,8,0,8,0.0,0.0,0.00443951165371809,0.0,0.00443951165371809,0,3.09158916984351e-07,0.025333715353784998,0.000391882552817576,-0.170983923257697,2.98236173879117,3,7,-0.48563761925631205,0.375,Peripheral,Maturation_Xylem
AT5G18270,ANAC087,171,10,161,0.0512555899552804,0.0557633960028463,0.0948945615982242,0.00554938956714761,0.0893451720310766,10076,7.092263740734809e-07,0.333965105083789,0.000466264832413829,-0.170983923257697,2.98236173879117,1,3,3.9681800214969303,0.516298448933861,Connector Hub,Maturation_Xylem
AT2G28810,DOF2.2,36,0,36,0.0206349206349206,0.0133850699698727,0.0199778024417314,0.0,0.0199778024417314,0,7.1013113693865e-07,0.06875934361683099,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,0.97704290619975,0.439814814814815,Peripheral,Maturation_Xylem
AT5G12870,MYB46,170,48,122,0.0750435085276714,0.0850328603331708,0.0943396226415094,0.0266370699223085,0.0677025527192009,15510,7.09223321372953e-07,0.47889265865968705,0.000996478592259678,-0.170983923257697,2.98236173879117,1,3,2.6679955146582404,0.606538637402835,Connector Hub,Maturation_Xylem
AT1G28470,NAC010,369,33,336,0.0358636738541298,0.0437334405850239,0.20477247502774698,0.0183129855715871,0.18645948945616,22010,7.09228189273598e-07,0.985932758178479,0.000693999006775304,-0.170983923257697,2.98236173879117,1,3,6.820197649401179,0.611114905630307,Connector Hub,Maturation_Xylem
AT3G08500,MYB83,314,28,286,0.033922793593944,0.0353673226906646,0.174250832408435,0.0155382907880133,0.158712541620422,20943,7.092283976276729e-07,0.5460273666331521,0.000703607440701705,-0.170983923257697,2.98236173879117,1,3,5.93942749960722,0.6180848372406811,Connector Hub,Maturation_Xylem
AT3G04060,anac046,239,25,214,0.0415597201223586,0.0494951010604837,0.132630410654828,0.013873473917868999,0.118756936736959,20347,7.092269987683329e-07,0.445062432678694,0.000688954992812368,-0.170983923257697,2.98236173879117,1,3,4.72312586417747,0.601979691723281,Connector Hub,Maturation_Xylem
AT4G28500,NAC073,402,46,356,0.0340938698031042,0.04291527527006101,0.22308546059933398,0.025527192008879,0.19755826859045497,27118,7.092280385647329e-07,1.0,0.000999200328756767,-0.170983923257697,2.98236173879117,1,3,7.86873354201303,0.6108380067296899,Connector Hub,Maturation_Xylem
AT1G62990,KNAT7,114,26,88,0.104331625523987,0.11342169291843401,0.0632630410654828,0.0144284128745838,0.048834628190898996,4640,7.092205220845809e-07,0.291121669368034,0.000507629186371791,-0.170983923257697,2.98236173879117,1,3,2.41634690043139,0.499669421487604,Peripheral,Maturation_Xylem
AT1G68810,BHLH30,172,48,124,0.047531619747042,0.0609288417178421,0.095449500554939,0.0266370699223085,0.0688124306326304,30036,7.09226562374563e-07,0.228432907867233,0.000931259770031799,-0.170983923257697,2.98236173879117,1,3,2.2485811576135,0.657667233560091,Connector,Maturation_Xylem
AT2G30130,LBD12,46,7,39,0.0676328502415459,0.0596009768386539,0.025527192008879,0.00388457269700333,0.0216426193118757,3175,7.09224681384257e-07,0.0337248389924528,0.00044369037230361296,-0.170983923257697,2.98236173879117,1,2,1.6209096919286101,0.42567901234567895,Peripheral,Maturation_Xylem
AT4G36920,AP2,27,0,27,0.0227920227920228,0.0186172815116394,0.0149833518312986,0.0,0.0149833518312986,0,7.10131330415555e-07,0.0318960983324801,0.000391882552817576,-0.170983923257697,2.98236173879117,1,3,-0.14208067754151502,0.6310013717421129,Connector,Maturation_Xylem
AT1G64620,DOF1.8,56,0,56,0.0357142857142857,0.0309747238459938,0.0310765815760266,0.0,0.0310765815760266,0,7.1934585947074e-07,0.0631069274608264,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,2.1471873265646,0.403698979591837,Peripheral,Maturation_Xylem
AT5G62610,BHLH79,30,0,30,0.0,0.0,0.0166481687014428,0.0,0.0166481687014428,0,3.12997219998412e-07,0.0153308315513668,0.000391882552817576,-0.170983923257697,2.98236173879117,1,2,0.521262725867751,0.5244444444444439,Peripheral,Maturation_Xylem
AT3G20310,ERF7,127,0,127,0.0274965629296338,0.0257256943809504,0.0704772475027747,0.0,0.0704772475027747,0,7.12872721464495e-07,0.13798334303628,0.000391882552817576,-0.170983923257697,2.98236173879117,1,2,3.1604154444137995,0.6558373116746229,Connector Hub,Maturation_Xylem
AT1G33240,AT-GTL1,125,0,125,0.0178064516129032,0.0145503088167558,0.0693673695893452,0.0,0.0693673695893452,0,7.10133730584704e-07,0.23586361206568698,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,4.34120811474868,0.578048,Connector Hub,Maturation_Xylem
AT5G03510,AT5G03510,82,29,53,0.134296898524541,0.16744950396229502,0.0455049944506104,0.0160932297447281,0.0294117647058824,7540,7.09221137857322e-07,0.291065698272175,0.000614000041469411,-0.170983923257697,2.98236173879117,1,3,1.2839281364106,0.547815820543093,Peripheral,Maturation_Xylem
AT5G13180,NAC083,104,2,102,0.0364077669902913,0.0322719607028292,0.0577136514983352,0.00110987791342952,0.0566037735849057,2281,7.09227620699216e-07,0.157719756191728,0.000401451338626374,-0.170983923257697,2.98236173879117,1,2,2.3540076693025096,0.648212226066897,Connector,Maturation_Xylem
AT3G09735,S1FA3,200,47,153,0.0306532663316583,0.0378155168473729,0.11098779134295199,0.0260821309655938,0.0849056603773585,29392,7.09227353864945e-07,0.22291213901433102,0.0013758120242973301,-0.170983923257697,2.98236173879117,1,2,5.79956816295985,0.645286735183455,Connector Hub,Maturation_Xylem
AT4G35550,WOX13,126,15,111,0.0638730158730159,0.0632246966285948,0.0699223085460599,0.00832408435072142,0.0615982241953385,13677,7.0922335026962e-07,0.19392790421447698,0.00043895389705312797,-0.170983923257697,2.98236173879117,1,3,3.1712927431119198,0.413195377586671,Connector Hub,Maturation_Xylem
AT1G52150,ATHB-15,94,2,92,0.0137268359643102,0.015086704485448,0.0521642619311876,0.00110987791342952,0.051054384017758,3286,7.09213612786378e-07,0.15182282426318,0.000403698305994805,-0.170983923257697,2.98236173879117,1,7,3.68300187829346,0.491848768643774,Connector Hub,Maturation_Xylem
AT1G12260,NAC007,294,45,249,0.0439274685983608,0.0568369513626125,0.16315205327414004,0.0249722530521643,0.13817980022197598,24566,7.09227113990614e-07,0.656733517074587,0.0009204937552876881,-0.170983923257697,2.98236173879117,1,3,6.14913467812959,0.5793245387819871,Connector Hub,Maturation_Xylem
AT5G52510,SCL8,3,0,3,0.0,0.0,0.0016648168701442801,0.0,0.0016648168701442801,0,3.08299690325314e-07,0.0117826022493055,0.000391882552817576,-0.170983923257697,2.98236173879117,3,7,-0.705039698074721,0.0,Ultra peripheral,Maturation_Xylem
AT3G18990,VRN1,59,0,59,0.00584453535943892,0.0042922781567150394,0.0327413984461709,0.0,0.0327413984461709,0,7.101292970696869e-07,0.0902956593570027,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,1.9277852477461899,0.505027291008331,Peripheral,Maturation_Xylem
AT2G45420,LBD18,218,23,195,0.0492537944446793,0.050461972956745996,0.120976692563818,0.0127635960044395,0.108213096559378,20505,7.09224925493225e-07,0.46212480937984995,0.0005093506062526231,-0.170983923257697,2.98236173879117,1,3,4.72312586417747,0.5668295610425239,Connector Hub,Maturation_Xylem
AT1G53910,RAP2-12,136,24,112,0.0388888888888889,0.0459288072486872,0.0754716981132075,0.0133185349611543,0.0621531631520533,14315,7.09224947325713e-07,0.14044399039668803,0.00103581942873328,-0.170983923257697,2.98236173879117,1,3,2.16469828620455,0.621431660899654,Connector,Maturation_Xylem
