,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G42280,AT2G42280,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939681576194e-07,0.00254937829406922,0.00048705647233209697,-0.143316559785017,3.08414736705913,494,1,-0.896103763841427,0.0,Ultra peripheral,Maturation_Pericycle
AT5G45260,RRS1,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,5.220713284098679e-07,0.00786879950027155,0.00048705647233209697,-0.143316559785017,3.08414736705913,495,1,-0.719811325426168,0.0,Ultra peripheral,Maturation_Pericycle
AT5G43270,SPL2,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.205635568595079e-07,0.0008922969093413721,0.00048705647233209697,-0.143316559785017,3.08414736705913,496,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT5G45300,BMY2,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939682539543e-07,0.00268436925874008,0.00048705647233209697,-0.143316559785017,3.08414736705913,497,1,-0.896103763841427,0.0,Ultra peripheral,Maturation_Pericycle
AT2G34710,ATHB-14,15,0,15,0.0,0.0,0.0108225108225108,0.0,0.0108225108225108,0,5.2587924557776e-07,0.0223549731055033,0.00048705647233209697,-0.143316559785017,3.08414736705913,498,1,-0.132169864041969,0.0,Ultra peripheral,Maturation_Pericycle
AT3G58780,SHP1,7,0,7,0.0,0.0,0.00505050505050505,0.0,0.00505050505050505,0,5.22828493222455e-07,0.0102672079539364,0.00048705647233209697,-0.143316559785017,3.08414736705913,499,1,-0.7785754715645871,0.48979591836734704,Peripheral,Maturation_Pericycle
AT3G29035,NAC59,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,1.25597636568232e-06,0.000657203832180516,0.00048705647233209697,-0.143316559785017,3.08414736705913,500,0,-0.568780054763203,0.0,Ultra peripheral,Maturation_Pericycle
AT2G46770,NAC043,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.21316353134892e-07,0.00337960348715762,0.00048705647233209697,-0.143316559785017,3.08414736705913,501,1,-0.896103763841427,0.444444444444444,Peripheral,Maturation_Pericycle
AT5G17430,BBM,7,0,7,0.0,0.0,0.00505050505050505,0.0,0.00505050505050505,0,5.22828493202643e-07,0.0105949555076418,0.00048705647233209697,-0.143316559785017,3.08414736705913,502,1,-0.6610471792877479,0.24489795918367396,Peripheral,Maturation_Pericycle
AT1G80590,WRKY66,6,0,6,0.0,0.0,0.00432900432900433,0.0,0.00432900432900433,0,5.2244963574652e-07,0.00801985749420093,0.00048705647233209697,-0.143316559785017,3.08414736705913,503,1,-0.6610471792877479,0.0,Ultra peripheral,Maturation_Pericycle
AT4G32800,ERF043,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.2169356753519e-07,0.00581135741432719,0.00048705647233209697,-0.143316559785017,3.08414736705913,504,1,-0.7785754715645871,0.0,Ultra peripheral,Maturation_Pericycle
AT3G04060,anac046,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.21316352486975e-07,0.00548435748475289,0.00048705647233209697,-0.143316559785017,3.08414736705913,505,1,-0.837339617703007,0.0,Ultra peripheral,Maturation_Pericycle
