,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G16350,AT3G16350,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718801325e-07,0.0009245128088542,0.000340682712795526,-0.20193775556896,3.67023853785492,155,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G38340,NLP3,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985293158698e-07,0.00200129130086363,0.000340682712795526,-0.20193775556896,3.67023853785492,156,3,-0.8320066566005,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G35550,WOX13,10,0,10,0.0,0.0,0.00448229493500672,0.0,0.00448229493500672,0,2.01723847666432e-07,0.00629170122765236,0.000340682712795526,-0.20193775556896,3.67023853785492,3,2,-0.4622614627215689,0.58,Peripheral,Proliferation Domain_Cortex
AT5G66770,SCL4,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985292202602e-07,0.000639969581566055,0.000340682712795526,-0.20193775556896,3.67023853785492,157,0,-0.570788939130027,0.5,Peripheral,Proliferation Domain_Cortex
AT5G56930,EMB1789,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971880693899e-07,0.0017092179296748801,0.000340682712795526,-0.20193775556896,3.67023853785492,158,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G03660,WOX11,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985292859198e-07,0.00170624912221177,0.000340682712795526,-0.20193775556896,3.67023853785492,159,0,-0.570788939130027,0.5,Peripheral,Proliferation Domain_Cortex
AT1G01520,AT1G01520,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.0109006800421102e-07,0.00342052325517764,0.000340682712795526,-0.20193775556896,3.67023853785492,3,3,-0.7496323166080849,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT2G40340,DREB2C,8,1,7,0.0,0.0,0.00358583594800538,0.000448229493500672,0.00313760645450471,7,2.0145173922376101e-07,0.00532341541630056,0.00035818235068328197,-0.20193775556896,3.67023853785492,28,3,-0.3377606166460109,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G27410,RD26,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067961567e-07,0.00114868490153327,0.000340682712795526,-0.20193775556896,3.67023853785492,160,2,-0.6411886423964821,0.444444444444445,Peripheral,Proliferation Domain_Cortex
AT3G22170,FHY3,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985295030398e-07,0.00171152363317653,0.000340682712795526,-0.20193775556896,3.67023853785492,161,0,-0.570788939130027,0.5,Peripheral,Proliferation Domain_Cortex
AT2G36400,GRF3,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067955047e-07,0.000299449089419524,0.000340682712795526,-0.20193775556896,3.67023853785492,162,0,-0.510598627291274,0.444444444444445,Peripheral,Proliferation Domain_Cortex
